,uniprot_id,Entry,Entry Name,Reviewed,Protein names,Gene Names,Organism,Length,gene_first
104,p08708,P08708,RS17_HUMAN,reviewed,Small ribosomal subunit protein eS17 (40S ribosomal protein S17),RPS17 RPS17L,Homo sapiens (Human),135,RPS17
105,q9bw61,Q9BW61,DDA1_HUMAN,reviewed,DET1- and DDB1-associated protein 1 (Placenta cross-immune reaction antigen 1) (PCIA-1),DDA1 C19orf58 PCIA1,Homo sapiens (Human),102,DDA1
106,p46783,P46783,RS10_HUMAN,reviewed,Small ribosomal subunit protein eS10 (40S ribosomal protein S10),RPS10,Homo sapiens (Human),165,RPS10
107,p29375,P29375,KDM5A_HUMAN,reviewed,Lysine-specific demethylase 5A (EC 1.14.11.67) (Histone demethylase JARID1A) (Jumonji/ARID domain-containing protein 1A) (Retinoblastoma-binding protein 2) (RBBP-2) ([histone H3]-trimethyl-L-lysine(4) demethylase 5A),KDM5A JARID1A RBBP2 RBP2,Homo sapiens (Human),1690,KDM5A
108,q16514,Q16514,TAF12_HUMAN,reviewed,Transcription initiation factor TFIID subunit 12 (Transcription initiation factor TFIID 20/15 kDa subunits) (TAFII-20/TAFII-15) (TAFII20/TAFII15),TAF12 TAF15 TAF2J TAFII20,Homo sapiens (Human),161,TAF12
109,q9y5t5,Q9Y5T5,UBP16_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 16 (EC 3.4.19.12) (Deubiquitinating enzyme 16) (Ubiquitin thioesterase 16) (Ubiquitin-processing protease UBP-M) (Ubiquitin-specific-processing protease 16),USP16 MSTP039,Homo sapiens (Human),823,USP16
110,q9h410,Q9H410,DSN1_HUMAN,reviewed,Kinetochore-associated protein DSN1 homolog,DSN1 C20orf172 MIS13,Homo sapiens (Human),356,DSN1
111,q9y483,Q9Y483,MTF2_HUMAN,reviewed,Metal-response element-binding transcription factor 2 (Metal regulatory transcription factor 2) (Metal-response element DNA-binding protein M96) (Polycomb-like protein 2) (hPCl2),MTF2 PCL2,Homo sapiens (Human),593,MTF2
112,q7l2h7,Q7L2H7,EIF3M_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit M (eIF3m) (Fetal lung protein B5) (hFL-B5) (PCI domain-containing protein 1),EIF3M HFLB5 PCID1 GA17 PNAS-125,Homo sapiens (Human),374,EIF3M
113,q9y263,Q9Y263,PLAP_HUMAN,reviewed,Phospholipase A-2-activating protein (PLA2P) (PLAP),PLAA PLAP,Homo sapiens (Human),795,PLAA
114,q9ulu4,Q9ULU4,ZMYD8_HUMAN,reviewed,MYND-type zinc finger-containing chromatin reader ZMYND8 (Cutaneous T-cell lymphoma-associated antigen se14-3) (CTCL-associated antigen se14-3) (Protein kinase C-binding protein 1) (Rack7) (Transcription coregulator ZMYND8) (Zinc finger MYND domain-containing protein 8),ZMYND8 KIAA1125 PRKCBP1 RACK7,Homo sapiens (Human),1186,ZMYND8
115,o95071,O95071,UBR5_HUMAN,reviewed,"E3 ubiquitin-protein ligase UBR5 (EC 2.3.2.26) (E3 ubiquitin-protein ligase, HECT domain-containing 1) (Hyperplastic discs protein homolog) (hHYD) (Progestin-induced protein)",UBR5 EDD EDD1 HYD KIAA0896,Homo sapiens (Human),2799,UBR5
116,q8tek3,Q8TEK3,DOT1L_HUMAN,reviewed,"Histone-lysine N-methyltransferase, H3 lysine-79 specific (EC 2.1.1.360) (DOT1-like protein) (Histone H3-K79 methyltransferase) (H3-K79-HMTase) (Lysine N-methyltransferase 4)",DOT1L KIAA1814 KMT4,Homo sapiens (Human),1537,DOT1L
117,o60244,O60244,MED14_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 14 (Activator-recruited cofactor 150 kDa component) (ARC150) (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (RGR1 homolog) (hRGR1) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170) (Transcriptional coactivator CRSP150) (Vitamin D3 receptor-interacting protein complex 150 kDa component) (DRIP150),MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170,Homo sapiens (Human),1454,MED14
118,q07020,Q07020,RL18_HUMAN,reviewed,Large ribosomal subunit protein eL18 (60S ribosomal protein L18),RPL18,Homo sapiens (Human),188,RPL18
119,q14691,Q14691,PSF1_HUMAN,reviewed,DNA replication complex GINS protein PSF1 (GINS complex subunit 1),GINS1 KIAA0186 PSF1,Homo sapiens (Human),196,GINS1
120,p35268,P35268,RL22_HUMAN,reviewed,Large ribosomal subunit protein eL22 (60S ribosomal protein L22) (EBER-associated protein) (EAP) (Epstein-Barr virus small RNA-associated protein) (Heparin-binding protein HBp15),RPL22,Homo sapiens (Human),128,RPL22
121,q9hau4,Q9HAU4,SMUF2_HUMAN,reviewed,E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2),SMURF2,Homo sapiens (Human),748,SMURF2
122,p56282,P56282,DPOE2_HUMAN,reviewed,DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B),POLE2 DPE2,Homo sapiens (Human),527,POLE2
123,q15008,Q15008,PSMD6_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit RPN7) (26S proteasome regulatory subunit S10) (Breast cancer-associated protein SGA-113M) (Phosphonoformate immuno-associated protein 4) (Proteasome regulatory particle subunit p44S10) (p42A),PSMD6 KIAA0107 PFAAP4,Homo sapiens (Human),389,PSMD6
124,o00232,O00232,PSD12_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,Homo sapiens (Human),456,PSMD12
125,q09028,Q09028,RBBP4_HUMAN,reviewed,Histone-binding protein RBBP4 (Chromatin assembly factor 1 subunit C) (CAF-1 subunit C) (Chromatin assembly factor I p48 subunit) (CAF-I 48 kDa subunit) (CAF-I p48) (Nucleosome-remodeling factor subunit RBAP48) (Retinoblastoma-binding protein 4) (RBBP-4) (Retinoblastoma-binding protein p48),RBBP4 RBAP48,Homo sapiens (Human),425,RBBP4
126,p25789,P25789,PSA4_HUMAN,reviewed,Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L) (Proteasome subunit alpha-3) (alpha-3),PSMA4 HC9 PSC9,Homo sapiens (Human),261,PSMA4
127,p52435,P52435,RPB11_HUMAN,reviewed,DNA-directed RNA polymerase II subunit RPB11-a (RNA polymerase II subunit B11-a) (RPB11a) (DNA-directed RNA polymerase II subunit J-1) (RNA polymerase II 13.3 kDa subunit),POLR2J POLR2J1,Homo sapiens (Human),117,POLR2J
128,p49643,P49643,PRI2_HUMAN,reviewed,DNA primase large subunit (DNA primase 58 kDa subunit) (p58),PRIM2 PRIM2A,Homo sapiens (Human),509,PRIM2
129,p28066,P28066,PSA5_HUMAN,reviewed,Proteasome subunit alpha type-5 (Macropain zeta chain) (Multicatalytic endopeptidase complex zeta chain) (Proteasome subunit alpha-5) (alpha-5) (Proteasome zeta chain),PSMA5,Homo sapiens (Human),241,PSMA5
130,q7z589,Q7Z589,EMSY_HUMAN,reviewed,BRCA2-interacting transcriptional repressor EMSY,EMSY C11orf30 GL002,Homo sapiens (Human),1322,EMSY
131,o75317,O75317,UBP12_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 12 (EC 3.4.19.12) (Deubiquitinating enzyme 12) (Ubiquitin specific peptidase 12) (Ubiquitin thioesterase 12) (Ubiquitin-hydrolyzing enzyme 1) (Ubiquitin-specific-processing protease 12),USP12 UBH1 USP12L1,Homo sapiens (Human),370,USP12
132,q9h1a4,Q9H1A4,APC1_HUMAN,reviewed,Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein),ANAPC1 TSG24,Homo sapiens (Human),1944,ANAPC1
133,p46777,P46777,RL5_HUMAN,reviewed,Large ribosomal subunit protein uL18 (60S ribosomal protein L5),RPL5 MSTP030,Homo sapiens (Human),297,RPL5
134,p0cg48,P0CG48,UBC_HUMAN,reviewed,Polyubiquitin-C [Cleaved into: Ubiquitin],UBC,Homo sapiens (Human),685,UBC
135,q8n488,Q8N488,RYBP_HUMAN,reviewed,RING1 and YY1-binding protein (Apoptin-associating protein 1) (APAP-1) (Death effector domain-associated factor) (DED-associated factor) (YY1 and E4TF1-associated factor 1),RYBP DEDAF YEAF1,Homo sapiens (Human),228,RYBP
136,p25398,P25398,RS12_HUMAN,reviewed,Small ribosomal subunit protein eS12 (40S ribosomal protein S12),RPS12,Homo sapiens (Human),132,RPS12
137,p51665,P51665,PSMD7_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 7 (26S proteasome regulatory subunit RPN8) (26S proteasome regulatory subunit S12) (Mov34 protein homolog) (Proteasome subunit p40),PSMD7 MOV34L,Homo sapiens (Human),324,PSMD7
138,p62244,P62244,RS15A_HUMAN,reviewed,Small ribosomal subunit protein uS8 (40S ribosomal protein S15a),RPS15A OK/SW-cl.82,Homo sapiens (Human),130,RPS15A
139,o00231,O00231,PSD11_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 11 (26S proteasome regulatory subunit RPN6) (26S proteasome regulatory subunit S9) (26S proteasome regulatory subunit p44.5),PSMD11,Homo sapiens (Human),422,PSMD11
140,q96gy3,Q96GY3,LIN37_HUMAN,reviewed,Protein lin-37 homolog (Antolefinin),LIN37 MSTP064,Homo sapiens (Human),246,LIN37
141,q8wxx5,Q8WXX5,DNJC9_HUMAN,reviewed,DnaJ homolog subfamily C member 9 (HDJC9) (DnaJ protein SB73),DNAJC9,Homo sapiens (Human),260,DNAJC9
142,q9btt4,Q9BTT4,MED10_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10) (Transformation-related gene 17 protein) (TRG-17) (Transformation-related gene 20 protein) (TRG-20),MED10 L6 TRG17 TRG20,Homo sapiens (Human),135,MED10
143,o75604,O75604,UBP2_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (41 kDa ubiquitin-specific protease) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2),USP2 UBP41,Homo sapiens (Human),605,USP2
144,p50914,P50914,RL14_HUMAN,reviewed,Large ribosomal subunit protein eL14 (60S ribosomal protein L14) (CAG-ISL 7),RPL14,Homo sapiens (Human),215,RPL14
145,p68036,P68036,UB2L3_HUMAN,reviewed,Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3),UBE2L3 UBCE7 UBCH7,Homo sapiens (Human),154,UBE2L3
146,q03164,Q03164,KMT2A_HUMAN,reviewed,Histone-lysine N-methyltransferase 2A (Lysine N-methyltransferase 2A) (EC 2.1.1.364) (ALL-1) (CXXC-type zinc finger protein 7) (Cysteine methyltransferase KMT2A) (EC 2.1.1.-) (Myeloid/lymphoid or mixed-lineage leukemia) (Myeloid/lymphoid or mixed-lineage leukemia protein 1) (Trithorax-like protein) (Zinc finger protein HRX) [Cleaved into: MLL cleavage product N320 (N-terminal cleavage product of 320 kDa) (p320); MLL cleavage product C180 (C-terminal cleavage product of 180 kDa) (p180)],KMT2A ALL1 CXXC7 HRX HTRX MLL MLL1 TRX1,Homo sapiens (Human),3969,KMT2A
147,o95551,O95551,TYDP2_HUMAN,reviewed,Tyrosyl-DNA phosphodiesterase 2 (Tyr-DNA phosphodiesterase 2) (hTDP2) (EC 3.1.4.-) (5'-tyrosyl-DNA phosphodiesterase) (5'-Tyr-DNA phosphodiesterase) (ETS1-associated protein 2) (ETS1-associated protein II) (EAPII) (TRAF and TNF receptor-associated protein) (Tyrosyl-RNA phosphodiesterase) (VPg unlinkase),TDP2 EAP2 TTRAP AD-022,Homo sapiens (Human),362,TDP2
148,q16777,Q16777,H2A2C_HUMAN,reviewed,Histone H2A type 2-C (H2A-clustered histone 20) (Histone H2A-GL101) (Histone H2A/q),H2AC20 H2AFQ HIST2H2AC,Homo sapiens (Human),129,H2AC20
149,q96rt7,Q96RT7,GCP6_HUMAN,reviewed,Gamma-tubulin complex component 6 (GCP-6),TUBGCP6 GCP6 KIAA1669,Homo sapiens (Human),1819,TUBGCP6
150,q01094,Q01094,E2F1_HUMAN,reviewed,Transcription factor E2F1 (E2F-1) (PBR3) (Retinoblastoma-associated protein 1) (RBAP-1) (Retinoblastoma-binding protein 3) (RBBP-3) (pRB-binding protein E2F-1),E2F1 RBBP3,Homo sapiens (Human),437,E2F1
151,p55036,P55036,PSMD4_HUMAN,reviewed,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Antisecretory factor 1) (AF) (ASF) (Multiubiquitin chain-binding protein),PSMD4 MCB1,Homo sapiens (Human),377,PSMD4
152,q15910,Q15910,EZH2_HUMAN,reviewed,Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356) (ENX-1) (Enhancer of zeste homolog 2) (Lysine N-methyltransferase 6),EZH2 KMT6,Homo sapiens (Human),746,EZH2
153,q5fbb7,Q5FBB7,SGO1_HUMAN,reviewed,Shugoshin 1 (Serologically defined breast cancer antigen NY-BR-85) (Shugoshin-like 1),SGO1 SGOL1,Homo sapiens (Human),561,SGO1
154,p29084,P29084,T2EB_HUMAN,reviewed,Transcription initiation factor IIE subunit beta (TFIIE-beta) (General transcription factor IIE subunit 2),GTF2E2 TF2E2,Homo sapiens (Human),291,GTF2E2
155,q9nsi2,Q9NSI2,SLX9_HUMAN,reviewed,Ribosome biogenesis protein SLX9 homolog,SLX9 C21orf70 FAM207A PRED56,Homo sapiens (Human),230,SLX9
156,q9npi1,Q9NPI1,BRD7_HUMAN,reviewed,Bromodomain-containing protein 7 (75 kDa bromodomain protein) (Protein CELTIX-1),BRD7 BP75 CELTIX1,Homo sapiens (Human),651,BRD7
157,p26358,P26358,DNMT1_HUMAN,reviewed,DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (CXXC-type zinc finger protein 9) (DNA methyltransferase HsaI) (DNA MTase HsaI) (M.HsaI) (MCMT),DNMT1 AIM CXXC9 DNMT,Homo sapiens (Human),1616,DNMT1
158,q6fi13,Q6FI13,H2A2A_HUMAN,reviewed,Histone H2A type 2-A (H2A-clustered histone 18) (H2A-clustered histone 19) (Histone H2A.2) (Histone H2A/o),H2AC18 H2AFO HIST2H2AA HIST2H2AA3; H2AC19 HIST2H2AA4,Homo sapiens (Human),130,H2AC18
159,o94782,O94782,UBP1_HUMAN,reviewed,"Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (hUBP) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1) [Cleaved into: Ubiquitin carboxyl-terminal hydrolase 1, N-terminal fragment]",USP1,Homo sapiens (Human),785,USP1
160,p83731,P83731,RL24_HUMAN,reviewed,Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30),RPL24,Homo sapiens (Human),157,RPL24
161,q9btm1,Q9BTM1,H2AJ_HUMAN,reviewed,Histone H2A.J (H2a/j),H2AJ H2AFJ,Homo sapiens (Human),129,H2AJ
162,o75717,O75717,WDHD1_HUMAN,reviewed,WD repeat and HMG-box DNA-binding protein 1 (Acidic nucleoplasmic DNA-binding protein 1) (And-1),WDHD1 AND1,Homo sapiens (Human),1129,WDHD1
163,p62861,P62861,RS30_HUMAN,reviewed,Ubiquitin-like FUBI-ribosomal protein eS30 fusion protein (FAU ubiquitin like and ribosomal protein S30 fusion) [Cleaved into: Ubiquitin-like protein FUBI; Small ribosomal subunit protein eS30 (40S ribosomal protein S30)],FAU,Homo sapiens (Human),133,FAU
164,q13257,Q13257,MD2L1_HUMAN,reviewed,Mitotic spindle assembly checkpoint protein MAD2A (HsMAD2) (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1),MAD2L1 MAD2,Homo sapiens (Human),205,MAD2L1
165,q13042,Q13042,CDC16_HUMAN,reviewed,Cell division cycle protein 16 homolog (Anaphase-promoting complex subunit 6) (APC6) (CDC16 homolog) (CDC16Hs) (Cyclosome subunit 6),CDC16 ANAPC6,Homo sapiens (Human),620,CDC16
166,q8nc51,Q8NC51,SERB1_HUMAN,reviewed,SERPINE1 mRNA-binding protein 1 (PAI1 RNA-binding protein 1) (PAI-RBP1) (Plasminogen activator inhibitor 1 RNA-binding protein),SERBP1 PAIRBP1 CGI-55,Homo sapiens (Human),408,SERBP1
167,o15054,O15054,KDM6B_HUMAN,reviewed,Lysine-specific demethylase 6B (EC 1.14.11.68) (JmjC domain-containing protein 3) (Jumonji domain-containing protein 3) (Lysine demethylase 6B) ([histone H3]-trimethyl-L-lysine(27) demethylase 6B),KDM6B JMJD3 KIAA0346,Homo sapiens (Human),1643,KDM6B
168,p09884,P09884,DPOLA_HUMAN,reviewed,DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180),POLA1 POLA,Homo sapiens (Human),1462,POLA1
169,p62195,P62195,PRS8_HUMAN,reviewed,26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG),PSMC5 SUG1,Homo sapiens (Human),406,PSMC5
170,p22314,P22314,UBA1_HUMAN,reviewed,Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1),UBA1 A1S9T UBE1,Homo sapiens (Human),1058,UBA1
171,o75030,O75030,MITF_HUMAN,reviewed,Microphthalmia-associated transcription factor (Class E basic helix-loop-helix protein 32) (bHLHe32),MITF BHLHE32,Homo sapiens (Human),526,MITF
172,p52655,P52655,TF2AA_HUMAN,reviewed,Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)],GTF2A1 TF2A1,Homo sapiens (Human),376,GTF2A1
173,p62829,P62829,RL23_HUMAN,reviewed,Large ribosomal subunit protein uL14 (60S ribosomal protein L17) (60S ribosomal protein L23),RPL23,Homo sapiens (Human),140,RPL23
174,p62910,P62910,RL32_HUMAN,reviewed,Large ribosomal subunit protein eL32 (60S ribosomal protein L32),RPL32 PP9932,Homo sapiens (Human),135,RPL32
175,p62266,P62266,RS23_HUMAN,reviewed,Small ribosomal subunit protein uS12 (40S ribosomal protein S23),RPS23,Homo sapiens (Human),143,RPS23
176,p25788,P25788,PSA3_HUMAN,reviewed,Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit alpha-7) (alpha-7),PSMA3 HC8 PSC8,Homo sapiens (Human),255,PSMA3
177,p54578,P54578,UBP14_HUMAN,reviewed,Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14),USP14 TGT,Homo sapiens (Human),494,USP14
178,o15151,O15151,MDM4_HUMAN,reviewed,Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4),MDM4 MDMX,Homo sapiens (Human),490,MDM4
179,p46781,P46781,RS9_HUMAN,reviewed,Small ribosomal subunit protein uS4 (40S ribosomal protein S9),RPS9,Homo sapiens (Human),194,RPS9
180,o75164,O75164,KDM4A_HUMAN,reviewed,Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A),KDM4A JHDM3A JMJD2 JMJD2A KIAA0677,Homo sapiens (Human),1064,KDM4A
181,p0cg47,P0CG47,UBB_HUMAN,reviewed,Polyubiquitin-B [Cleaved into: Ubiquitin],UBB,Homo sapiens (Human),229,UBB
182,q9bsi4,Q9BSI4,TINF2_HUMAN,reviewed,TERF1-interacting nuclear factor 2 (TRF1-interacting nuclear protein 2),TINF2 TIN2,Homo sapiens (Human),451,TINF2
183,p30153,P30153,2AAA_HUMAN,reviewed,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2Aa) (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha),PPP2R1A,Homo sapiens (Human),589,PPP2R1A
184,q96ap4,Q96AP4,ZUP1_HUMAN,reviewed,Zinc finger-containing ubiquitin peptidase 1 (EC 3.4.19.12) (Lys-63-specific deubiquitinase ZUFSP) (DUB) (Zinc finger with UFM1-specific peptidase domain protein),ZUP1 C6orf113 ZUFSP,Homo sapiens (Human),578,ZUP1
185,q96jp0,Q96JP0,FEM1C_HUMAN,reviewed,Protein fem-1 homolog C (FEM1c) (FEM1-gamma),FEM1C KIAA1785,Homo sapiens (Human),617,FEM1C
186,p62979,P62979,RS27A_HUMAN,reviewed,Ubiquitin-ribosomal protein eS31 fusion protein (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; Small ribosomal subunit protein eS31 (40S ribosomal protein S27a)],RPS27A UBA80 UBCEP1,Homo sapiens (Human),156,RPS27A
187,q9y6q9,Q9Y6Q9,NCOA3_HUMAN,reviewed,Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1),NCOA3 AIB1 BHLHE42 RAC3 TRAM1,Homo sapiens (Human),1424,NCOA3
188,q13889,Q13889,TF2H3_HUMAN,reviewed,General transcription factor IIH subunit 3 (Basic transcription factor 2 34 kDa subunit) (BTF2 p34) (General transcription factor IIH polypeptide 3) (TFIIH basal transcription factor complex p34 subunit),GTF2H3,Homo sapiens (Human),308,GTF2H3
189,q13617,Q13617,CUL2_HUMAN,reviewed,Cullin-2 (CUL-2),CUL2,Homo sapiens (Human),745,CUL2
190,q9ups6,Q9UPS6,SET1B_HUMAN,reviewed,Histone-lysine N-methyltransferase SETD1B (EC 2.1.1.364) (Lysine N-methyltransferase 2G) (SET domain-containing protein 1B) (hSET1B),SETD1B KIAA1076 KMT2G SET1B,Homo sapiens (Human),1966,SETD1B
191,o43524,O43524,FOXO3_HUMAN,reviewed,Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1),FOXO3 FKHRL1 FOXO3A,Homo sapiens (Human),673,FOXO3
192,q9y5n5,Q9Y5N5,HEMK2_HUMAN,reviewed,Methyltransferase HEMK2 (HemK methyltransferase family member 2) (M.HsaHemK2P) (Lysine N-methyltransferase 9) (EC 2.1.1.-) (Methylarsonite methyltransferase N6AMT1) (EC 2.1.1.-) (Methyltransferase N6AMT1) (Protein N(5)-glutamine methyltransferase) (EC 2.1.1.-),HEMK2 C21orf127 KMT9 N6AMT1 PRED28,Homo sapiens (Human),214,HEMK2
193,p52292,P52292,IMA1_HUMAN,reviewed,Importin subunit alpha-1 (Karyopherin subunit alpha-2) (RAG cohort protein 1) (SRP1-alpha),KPNA2 RCH1 SRP1,Homo sapiens (Human),529,KPNA2
194,q8ncn4,Q8NCN4,RN169_HUMAN,reviewed,E3 ubiquitin-protein ligase RNF169 (EC 2.3.2.27) (RING finger protein 169) (RING-type E3 ubiquitin transferase RNF169),RNF169 KIAA1991,Homo sapiens (Human),708,RNF169
195,q99613,Q99613,EIF3C_HUMAN,reviewed,Eukaryotic translation initiation factor 3 subunit C (eIF3c) (Eukaryotic translation initiation factor 3 subunit 8) (eIF3 p110),EIF3C EIF3S8,Homo sapiens (Human),913,EIF3C
196,q8tf76,Q8TF76,HASP_HUMAN,reviewed,Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase),HASPIN GSG2,Homo sapiens (Human),798,HASPIN
197,q9ulx3,Q9ULX3,NOB1_HUMAN,reviewed,RNA-binding protein NOB1 (EC 3.1.-.-) (Phosphorylation regulatory protein HP-10) (Protein ART-4),NOB1 ART4 NOB1P PSMD8BP1 MSTP158,Homo sapiens (Human),412,NOB1
198,p62280,P62280,RS11_HUMAN,reviewed,Small ribosomal subunit protein uS17 (40S ribosomal protein S11),RPS11,Homo sapiens (Human),158,RPS11
199,q8nem0,Q8NEM0,MCPH1_HUMAN,reviewed,Microcephalin,MCPH1,Homo sapiens (Human),835,MCPH1
200,p62750,P62750,RL23A_HUMAN,reviewed,Large ribosomal subunit protein uL23 (60S ribosomal protein L23a),RPL23A,Homo sapiens (Human),156,RPL23A
201,o96028,O96028,NSD2_HUMAN,reviewed,Histone-lysine N-methyltransferase NSD2 (EC 2.1.1.357) (Multiple myeloma SET domain-containing protein) (MMSET) (Nuclear SET domain-containing protein 2) (Protein trithorax-5) (Wolf-Hirschhorn syndrome candidate 1 protein),NSD2 KIAA1090 MMSET TRX5 WHSC1,Homo sapiens (Human),1365,NSD2
202,o95402,O95402,MED26_HUMAN,reviewed,Mediator of RNA polymerase II transcription subunit 26 (Activator-recruited cofactor 70 kDa component) (ARC70) (Cofactor required for Sp1 transcriptional activation subunit 7) (CRSP complex subunit 7) (Mediator complex subunit 26) (Transcriptional coactivator CRSP70),MED26 ARC70 CRSP7,Homo sapiens (Human),600,MED26
203,p23396,P23396,RS3_HUMAN,reviewed,Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18),RPS3 OK/SW-cl.26,Homo sapiens (Human),243,RPS3
204,p63208,P63208,SKP1_HUMAN,reviewed,S-phase kinase-associated protein 1 (Cyclin-A/CDK2-associated protein p19) (p19A) (Organ of Corti protein 2) (OCP-2) (Organ of Corti protein II) (OCP-II) (RNA polymerase II elongation factor-like protein) (SIII) (Transcription elongation factor B polypeptide 1-like) (p19skp1),SKP1 EMC19 OCP2 SKP1A TCEB1L,Homo sapiens (Human),163,SKP1
205,p62847,P62847,RS24_HUMAN,reviewed,Small ribosomal subunit protein eS24 (40S ribosomal protein S24),RPS24,Homo sapiens (Human),133,RPS24
206,q99816,Q99816,TS101_HUMAN,reviewed,Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101),TSG101,Homo sapiens (Human),390,TSG101
207,q9h3m9,Q9H3M9,ATX3L_HUMAN,reviewed,Ataxin-3-like protein (EC 3.4.19.12) (Machado-Joseph disease protein 1-like),ATXN3L ATX3L MJDL,Homo sapiens (Human),355,ATXN3L
208,q16695,Q16695,H31T_HUMAN,reviewed,Histone H3.1t (H3/t) (H3t) (H3/g) (Histone H3.4),H3-4 H3FT HIST3H3,Homo sapiens (Human),136,H3-4
